time     mean     centroid1  slope     centroid2   spread        skewness kurtosis   decrease rolloff    
0.848000 0.050708  11.688785 -0.000082  11.688785    614.658447  6.591738 52.236000  0.139897   8.000000
0.864000 0.021479  15.568653 -0.000079  15.568653   1217.022217  4.928652 28.622505  0.129603   8.000000
0.880000 0.011844  20.867619 -0.000076  20.867619   1952.833984  3.765008 17.034744  0.135829   8.000000
0.896000 0.005665  38.518150 -0.000063  38.518150   3390.156250  2.308935  7.609629  0.071466  15.000000
0.912000 0.004383  52.566216 -0.000053  52.566216   4091.433594  1.692409  5.062795  0.047364  54.000000
0.928000 0.004123  57.508240 -0.000050  57.508240   4441.479492  1.470806  4.278699  0.043517  83.000000
0.944000 0.003211  61.448570 -0.000047  61.448570   4546.406738  1.428863  4.116682  0.046081  88.000000
0.960000 0.003252  65.936516 -0.000044  65.936516   4678.387207  1.376503  3.942627  0.043885  96.000000
0.976000 0.003324  62.789986 -0.000046  62.789986   5137.879395  1.407516  3.867759  0.019669  66.000000
0.992000 0.002391  74.621239 -0.000038  74.621239   6113.769531  1.078384  2.855014  0.011880 117.000000
1.008000 0.002495  81.571243 -0.000033  81.571243   5513.407227  1.077575  2.998456  0.008784 188.000000
1.024000 0.002554  86.446594 -0.000029  86.446594   5111.771484  0.983422  2.950214 -0.009373 212.000000
1.040000 0.003284  73.159142 -0.000039  73.159142   4086.869141  1.315698  4.095468  0.012702 106.000000
1.056000 0.002535  82.514626 -0.000032  82.514626   5187.220703  1.010132  2.944249  0.003388 185.000000
1.072000 0.002472  83.521988 -0.000031  83.521988   4767.432129  0.970549  3.064742  0.000278 116.000000
1.088000 0.002791  77.070976 -0.000036  77.070976   5385.097656  1.019165  2.965939  0.011670 111.000000
1.104000 0.002430  77.433846 -0.000036  77.433846   5608.510742  1.013249  2.821088  0.009095 115.000000
1.120000 0.002605  77.447197 -0.000036  77.447197   4891.272461  1.120324  3.392189  0.004696 117.000000
1.136000 0.002366  90.522034 -0.000026  90.522034   4759.429688  0.945926  3.011419 -0.010488 194.000000
1.152000 0.002633  87.452339 -0.000029  87.452339   4429.365234  0.968007  3.252696  0.000499 121.000000
1.168000 0.002299  92.252235 -0.000025  92.252235   5066.798340  0.924988  2.850155 -0.022823 233.000000
1.184000 0.003276  78.789154 -0.000035  78.789154   4411.496094  1.192237  3.645168  0.011124 111.000000
1.200000 0.003006  85.642807 -0.000030  85.642807   4324.583496  1.091841  3.404564 -0.009585 120.000000
1.216000 0.002405  92.301880 -0.000025  92.301880   4343.571289  0.942473  3.198536 -0.012354 127.000000
1.232000 0.002521  86.150337 -0.000030  86.150337   5192.068848  0.981140  2.908295 -0.006669 215.000000
1.248000 0.002944  75.821129 -0.000037  75.821129   5271.682617  1.084672  3.053271  0.013049 123.000000
1.264000 0.002854  76.727783 -0.000036  76.727783   5301.238281  1.195543  3.213061  0.001234 126.000000
1.280000 0.002819  69.051956 -0.000042  69.051956   5209.770996  1.291373  3.471012  0.009170 102.000000
1.296000 0.002391  81.663010 -0.000033  81.663010   5736.620605  1.009095  2.784725  0.006101 216.000000
1.312000 0.002380  77.735222 -0.000036  77.735222   5891.919434  1.020664  2.778661  0.016506 112.000000
1.328000 0.002200  77.528091 -0.000036  77.528091   5074.008301  1.112239  3.125179  0.003832 117.000000
1.344000 0.002292  79.905174 -0.000034  79.905174   5654.277832  1.062924  2.872536  0.007435 207.000000
1.360000 0.001916  89.092720 -0.000028  89.092720   6612.482422  0.835586  2.282932  0.004665 239.000000
